epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,532.435,1.37875,1.83808,0.84049,0.24493,0.30785,0.20949,0.12516,1.41538,inf,0.83319,0.0003875,0.0003875,0.0003875
2,1126.29,1.33915,0.91432,0.82621,0.24493,0.30785,0.20949,0.12516,1.95792,inf,0.96948,0.000771908,0.000771908,0.000771908
3,1655.74,1.37994,0.81814,0.83001,0.23757,0.01998,0.02019,0.01234,2.3898,inf,1.13431,0.00114047,0.00114047,0.00114047
4,2160.28,1.32514,0.73179,0.82138,0.37054,0.34883,0.14855,0.0727,1.25988,inf,0.82851,0.00117575,0.00117575,0.00117575
5,2661.67,1.26245,0.66513,0.8171,0.80065,0.57778,0.61282,0.38123,1.17301,0.6338,0.80406,0.001151,0.001151,0.001151
6,3195.03,1.24527,0.62752,0.81532,0.71635,0.58952,0.62211,0.38193,1.11153,0.61268,0.79621,0.00112625,0.00112625,0.00112625
7,3682.69,1.28121,0.6346,0.81968,0.79772,0.58853,0.64631,0.38308,1.26689,0.67018,0.81143,0.0011015,0.0011015,0.0011015
8,4159.22,1.32731,0.68039,0.81895,0.87695,0.60651,0.67787,0.41682,1.1287,0.60736,0.80304,0.00107675,0.00107675,0.00107675
9,4661.61,1.20343,0.6086,0.81198,0.84599,0.64099,0.70539,0.44486,1.12081,0.5706,0.80238,0.001052,0.001052,0.001052
10,5199.51,1.16139,0.58334,0.80878,0.85998,0.62555,0.69279,0.42057,1.10778,0.54901,0.80423,0.00102725,0.00102725,0.00102725
11,5760.86,1.13383,0.55617,0.80712,0.86046,0.64897,0.70141,0.43654,1.0991,0.54864,0.80017,0.0010025,0.0010025,0.0010025
12,6303.7,1.15394,0.57026,0.80858,0.84352,0.62913,0.69225,0.38673,1.24484,0.57415,0.80991,0.00097775,0.00097775,0.00097775
13,6862.89,1.14717,0.56368,0.80604,0.86714,0.68815,0.74157,0.45215,1.1047,0.52672,0.80227,0.000953,0.000953,0.000953
14,7382.08,1.0998,0.53573,0.80249,0.93962,0.67403,0.73389,0.46796,1.0709,0.51209,0.7997,0.00092825,0.00092825,0.00092825
