epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1321.01,1.21601,1.09057,0.82124,0.7537,0.61108,0.67296,0.42258,1.0897,0.65805,0.7971,0.000412326,0.000412326,0.000412326
2,2657.05,1.2784,0.63987,0.818,0.77145,0.66228,0.69537,0.40675,1.29924,0.59568,0.82191,0.000812579,0.000812579,0.000812579
3,3810.85,1.24729,0.59512,0.81405,0.80148,0.68587,0.70905,0.39984,1.33999,0.5971,0.81679,0.00119633,0.00119633,0.00119633
4,5132.7,1.21403,0.57863,0.81163,0.84613,0.70871,0.73474,0.43315,1.23441,0.60735,0.80664,0.00117575,0.00117575,0.00117575
5,6426.92,1.17962,0.56292,0.8076,0.79996,0.68881,0.72638,0.45276,1.1181,0.54579,0.80346,0.001151,0.001151,0.001151
6,7676.05,1.13853,0.53176,0.80493,0.8183,0.71569,0.75312,0.46197,1.22974,0.54517,0.80431,0.00112625,0.00112625,0.00112625
7,8915.65,1.09015,0.50954,0.80189,0.79764,0.70651,0.73971,0.4574,1.17175,0.51388,0.80714,0.0011015,0.0011015,0.0011015
8,10350.6,1.07746,0.50116,0.79973,0.78847,0.67494,0.72971,0.46108,1.18671,0.54449,0.80458,0.00107675,0.00107675,0.00107675
9,11572.4,1.06273,0.5034,0.80055,0.76314,0.74543,0.76937,0.48678,1.06953,0.49149,0.79816,0.001052,0.001052,0.001052
10,12892.7,1.04018,0.47744,0.79864,0.83706,0.72046,0.77136,0.49731,1.03123,0.46735,0.79514,0.00102725,0.00102725,0.00102725
11,14238.9,1.02159,0.46811,0.79741,0.82065,0.74474,0.78834,0.50534,1.04347,0.47375,0.79832,0.0010025,0.0010025,0.0010025
12,15504.5,1.04049,0.4752,0.79794,0.82556,0.71439,0.74629,0.47333,1.09411,0.4789,0.80318,0.00097775,0.00097775,0.00097775
13,16713.3,1.02295,0.46821,0.79711,0.91507,0.6739,0.75323,0.48589,1.15721,0.48544,0.80454,0.000953,0.000953,0.000953
14,17970.8,1.04345,0.46471,0.79786,0.85215,0.73927,0.79069,0.51327,1.06468,0.45147,0.79777,0.00092825,0.00092825,0.00092825
15,19167.4,0.97054,0.44009,0.79296,0.80462,0.76723,0.78641,0.52252,1.01375,0.45508,0.79408,0.0009035,0.0009035,0.0009035
16,20367.3,0.99824,0.46139,0.79573,0.92973,0.72817,0.77541,0.50566,1.00601,0.45827,0.79398,0.00087875,0.00087875,0.00087875
17,21713.3,0.9979,0.45233,0.79599,0.85,0.73465,0.77306,0.50081,1.03732,0.44981,0.79757,0.000854,0.000854,0.000854
18,22930.5,0.95461,0.43938,0.79333,0.84673,0.75062,0.77774,0.52228,0.97347,0.45056,0.78994,0.00082925,0.00082925,0.00082925
19,24028.1,0.97035,0.43828,0.79329,0.89941,0.72763,0.78562,0.50741,1.00558,0.46942,0.791,0.0008045,0.0008045,0.0008045
20,25354.1,0.96559,0.4366,0.79219,0.81599,0.73854,0.78506,0.51602,1.06719,0.45205,0.79964,0.00077975,0.00077975,0.00077975
21,26537.3,0.93018,0.42394,0.7911,0.80916,0.74057,0.7861,0.52616,0.99987,0.43616,0.79392,0.000755,0.000755,0.000755
22,27621.1,0.9427,0.42585,0.79031,0.80223,0.73032,0.77441,0.51337,1.07323,0.44061,0.79889,0.00073025,0.00073025,0.00073025
23,28800.1,0.94346,0.4257,0.78917,0.88419,0.71919,0.77917,0.50748,1.07102,0.44304,0.79779,0.0007055,0.0007055,0.0007055
24,29990.5,0.91567,0.40938,0.79016,0.8151,0.7406,0.77787,0.52289,1.03323,0.4304,0.7971,0.00068075,0.00068075,0.00068075
25,31282.7,0.903,0.40555,0.78734,0.84894,0.75181,0.78982,0.53739,0.97713,0.42083,0.793,0.000656,0.000656,0.000656
26,32482,0.89434,0.40447,0.78677,0.84209,0.73961,0.7983,0.53077,1.04095,0.43493,0.79886,0.00063125,0.00063125,0.00063125
27,33678.4,0.90954,0.40925,0.78856,0.86227,0.73353,0.78088,0.52937,0.94867,0.41833,0.79027,0.0006065,0.0006065,0.0006065
28,34928.6,0.88158,0.39799,0.78569,0.79316,0.69977,0.77149,0.52932,0.97012,0.42779,0.79145,0.00058175,0.00058175,0.00058175
29,36042.1,0.90769,0.40336,0.7872,0.886,0.72581,0.78049,0.52537,1.05059,0.42952,0.79642,0.000557,0.000557,0.000557
30,37283.5,0.85764,0.38303,0.78404,0.82703,0.75804,0.78211,0.54067,0.97733,0.40837,0.79329,0.00053225,0.00053225,0.00053225
31,38540.5,0.86174,0.38979,0.78492,0.84612,0.76731,0.78773,0.53889,0.97888,0.40738,0.79152,0.0005075,0.0005075,0.0005075
32,39773.5,0.85149,0.38093,0.78381,0.87789,0.7634,0.80723,0.55513,0.96833,0.40586,0.79155,0.00048275,0.00048275,0.00048275
33,41062.6,0.84467,0.38059,0.7849,0.8191,0.77298,0.78705,0.54647,0.9201,0.41354,0.78624,0.000458,0.000458,0.000458
34,42374.3,0.84879,0.38118,0.78528,0.88255,0.74748,0.8077,0.54562,1.01071,0.41193,0.79411,0.00043325,0.00043325,0.00043325
35,43580.5,0.84033,0.37238,0.78426,0.8646,0.75365,0.7975,0.55499,1.00211,0.40876,0.79613,0.0004085,0.0004085,0.0004085
36,44865.2,0.82645,0.36956,0.7824,0.83236,0.74379,0.78323,0.54507,0.9726,0.40707,0.79296,0.00038375,0.00038375,0.00038375
37,46130.5,0.82789,0.37171,0.78463,0.8065,0.7695,0.78219,0.5423,0.99349,0.41675,0.79493,0.000359,0.000359,0.000359
38,47489.1,0.80474,0.36213,0.7807,0.86862,0.77052,0.80673,0.55815,0.96056,0.39331,0.79074,0.00033425,0.00033425,0.00033425
39,48765.9,0.80584,0.35896,0.78191,0.86433,0.74466,0.79084,0.5431,0.98545,0.39643,0.79489,0.0003095,0.0003095,0.0003095
40,49972.5,0.78754,0.3533,0.78028,0.8772,0.7542,0.80691,0.55602,0.97128,0.39843,0.79228,0.00028475,0.00028475,0.00028475
41,51190,0.76414,0.35348,0.78159,0.81353,0.75801,0.79258,0.53583,0.98307,0.40858,0.79407,0.00026,0.00026,0.00026
