epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5398.12,0.90747,0.72986,0.85033,0.85557,0.79372,0.83888,0.56151,0.9263,0.46357,0.86375,0.000415579,0.000415579,0.000415579
2,10408.9,0.90542,0.48479,0.84761,0.9114,0.80754,0.86978,0.57065,0.90094,0.45685,0.85872,0.000815767,0.000815767,0.000815767
3,15258.2,0.95335,0.51945,0.85542,0.89741,0.8312,0.8712,0.56283,0.89851,0.46949,0.8583,0.00119946,0.00119946,0.00119946
4,20390.3,0.88508,0.47937,0.84342,0.89221,0.82788,0.86052,0.5554,0.92834,0.46088,0.86138,0.00117575,0.00117575,0.00117575
5,24999.2,0.89181,0.44899,0.84121,0.90318,0.842,0.87289,0.5911,0.87612,0.4217,0.85074,0.001151,0.001151,0.001151
6,29419.3,0.85394,0.42386,0.83783,0.94185,0.81057,0.86229,0.58652,0.93125,0.41381,0.86161,0.00112625,0.00112625,0.00112625
7,34100.3,0.82022,0.40562,0.8298,0.91275,0.82141,0.86762,0.5991,0.87315,0.40245,0.84991,0.0011015,0.0011015,0.0011015
8,38906.8,0.81416,0.39568,0.82868,0.92395,0.84106,0.88099,0.60391,0.82722,0.38463,0.843,0.00107675,0.00107675,0.00107675
9,43916.2,0.79034,0.38271,0.82577,0.93461,0.81261,0.88137,0.59564,0.94545,0.41717,0.86495,0.001052,0.001052,0.001052
10,48544.9,0.82849,0.40347,0.8318,0.90903,0.85871,0.88626,0.60509,0.83594,0.38303,0.84041,0.00102725,0.00102725,0.00102725
11,53593.4,0.78365,0.37855,0.82507,0.86618,0.86672,0.88708,0.6073,0.84378,0.38924,0.84741,0.0010025,0.0010025,0.0010025
12,58657.9,0.77401,0.3723,0.82316,0.8988,0.8537,0.88459,0.60429,0.86052,0.38523,0.84765,0.00097775,0.00097775,0.00097775
13,63269.2,0.76999,0.37099,0.82248,0.89985,0.87822,0.89723,0.62703,0.81332,0.37197,0.83745,0.000953,0.000953,0.000953
14,68557.5,0.76494,0.3631,0.82134,0.89767,0.8623,0.88452,0.60745,0.82923,0.3744,0.84459,0.00092825,0.00092825,0.00092825
15,73440.5,0.75983,0.36109,0.82126,0.95819,0.82892,0.89787,0.62997,0.8163,0.35615,0.84256,0.0009035,0.0009035,0.0009035
16,78090.1,0.73385,0.34549,0.81679,0.89824,0.88509,0.90168,0.61968,0.84511,0.36606,0.85039,0.00087875,0.00087875,0.00087875
17,82429.3,0.74021,0.3491,0.81863,0.93738,0.86109,0.89574,0.61965,0.82573,0.36078,0.84103,0.000854,0.000854,0.000854
18,87102.4,0.73605,0.34917,0.81822,0.92845,0.8839,0.91326,0.63834,0.82945,0.3583,0.84285,0.00082925,0.00082925,0.00082925
19,91748.8,0.72104,0.33929,0.816,0.9298,0.85874,0.89845,0.62089,0.80479,0.35288,0.83975,0.0008045,0.0008045,0.0008045
20,95965,0.72751,0.33917,0.81505,0.872,0.851,0.89264,0.61681,0.80527,0.36867,0.83977,0.00077975,0.00077975,0.00077975
21,100650,0.71261,0.33655,0.81407,0.87968,0.86282,0.88772,0.61986,0.82311,0.37291,0.84517,0.000755,0.000755,0.000755
22,104772,0.71371,0.33714,0.81365,0.91106,0.87514,0.90488,0.6206,0.87929,0.36804,0.85391,0.00073025,0.00073025,0.00073025
23,109974,0.70465,0.33237,0.81129,0.88696,0.86111,0.89903,0.63043,0.81225,0.35789,0.83837,0.0007055,0.0007055,0.0007055
24,114283,0.69716,0.33192,0.81184,0.90531,0.87713,0.90053,0.62288,0.81547,0.35649,0.84164,0.00068075,0.00068075,0.00068075
25,119224,0.68772,0.3218,0.8088,0.93051,0.86321,0.90519,0.63988,0.81201,0.35299,0.84272,0.000656,0.000656,0.000656
26,123940,0.68479,0.3212,0.8084,0.94102,0.85836,0.90959,0.61766,0.83823,0.36536,0.84818,0.00063125,0.00063125,0.00063125
27,128391,0.67996,0.32191,0.80733,0.88933,0.88247,0.90471,0.64261,0.83931,0.36538,0.84641,0.0006065,0.0006065,0.0006065
28,133465,0.6628,0.31439,0.80684,0.92239,0.87337,0.90655,0.63581,0.80808,0.34919,0.84013,0.00058175,0.00058175,0.00058175
29,137858,0.65945,0.31067,0.80481,0.89525,0.88844,0.91244,0.64023,0.80979,0.34633,0.8436,0.000557,0.000557,0.000557
30,142682,0.64219,0.30129,0.80231,0.92278,0.88505,0.90793,0.64097,0.8165,0.34354,0.84179,0.00053225,0.00053225,0.00053225
31,147903,0.64895,0.30227,0.80285,0.92705,0.87065,0.9102,0.64085,0.79545,0.34209,0.83859,0.0005075,0.0005075,0.0005075
32,153225,0.63746,0.30138,0.80195,0.90883,0.86625,0.89593,0.63044,0.82228,0.34652,0.84564,0.00048275,0.00048275,0.00048275
33,157964,0.62734,0.29831,0.80084,0.91354,0.8973,0.91281,0.64134,0.82712,0.34386,0.84545,0.000458,0.000458,0.000458
34,163372,0.6311,0.29667,0.80052,0.92277,0.88442,0.92105,0.65295,0.81226,0.34566,0.84719,0.00043325,0.00043325,0.00043325
35,168238,0.62552,0.29265,0.79959,0.92803,0.87369,0.91267,0.65198,0.81846,0.33734,0.84231,0.0004085,0.0004085,0.0004085
36,172506,0.59879,0.28199,0.79639,0.90225,0.88346,0.91273,0.64637,0.81684,0.34161,0.84598,0.00038375,0.00038375,0.00038375
37,177206,0.5963,0.28361,0.79787,0.95183,0.87642,0.92317,0.64577,0.82393,0.3367,0.84888,0.000359,0.000359,0.000359
38,182147,0.59282,0.27906,0.7946,0.95176,0.86933,0.90932,0.64945,0.78926,0.33337,0.8367,0.00033425,0.00033425,0.00033425
39,186833,0.57889,0.27295,0.79353,0.93999,0.87519,0.90858,0.64222,0.80066,0.33182,0.837,0.0003095,0.0003095,0.0003095
40,191399,0.56678,0.26588,0.79255,0.91888,0.87705,0.91191,0.64609,0.81471,0.33178,0.84261,0.00028475,0.00028475,0.00028475
41,196569,0.56088,0.26523,0.79499,0.90105,0.89397,0.90426,0.62463,0.82808,0.33504,0.85078,0.00026,0.00026,0.00026
42,201587,0.55214,0.26408,0.7926,0.96633,0.85631,0.91089,0.65112,0.8111,0.33585,0.84453,0.00023525,0.00023525,0.00023525
43,206727,0.54428,0.25897,0.7939,0.94153,0.87503,0.91362,0.63722,0.82517,0.32871,0.8493,0.0002105,0.0002105,0.0002105
44,213514,0.53,0.25203,0.79074,0.92953,0.88841,0.9174,0.63755,0.82007,0.33324,0.84852,0.00018575,0.00018575,0.00018575
