epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11698,3.18142,3.97008,2.12992,0.24131,0.28332,0.31179,0.14652,1.81462,1.11895,1.18887,0.000415579,0.000415579,0.000415579
2,36817.3,1.73024,1.16625,1.1558,0.43056,0.50004,0.33088,0.17902,1.4291,3.58531,1.05853,0.000815767,0.000815767,0.000815767
3,42073.5,1.51593,0.99565,1.0491,0.66649,0.52433,0.56274,0.28529,1.39754,0.90042,1.01254,0.00119946,0.00119946,0.00119946
4,47034.9,1.43171,0.88595,1.0066,0.69991,0.58024,0.59901,0.32437,1.27049,0.77237,0.95527,0.00117575,0.00117575,0.00117575
5,52239.2,1.38199,0.83684,0.98496,0.6725,0.66999,0.61148,0.35817,1.1773,0.76753,0.94165,0.001151,0.001151,0.001151
6,56359.1,1.26581,0.73774,0.95304,0.7871,0.7099,0.745,0.45719,1.09096,0.6245,0.92131,0.00112625,0.00112625,0.00112625
7,60729.6,1.20079,0.68107,0.93282,0.86015,0.72937,0.78241,0.47997,1.04847,0.57842,0.91172,0.0011015,0.0011015,0.0011015
8,65350.2,1.15394,0.63729,0.9224,0.79383,0.74144,0.78993,0.46931,1.14674,0.58948,0.92151,0.00107675,0.00107675,0.00107675
9,69784.3,1.13356,0.61464,0.91366,0.8443,0.72762,0.78607,0.48404,1.00445,0.55188,0.89082,0.001052,0.001052,0.001052
10,74306.5,1.1049,0.58747,0.91026,0.84393,0.79391,0.82064,0.52019,0.99146,0.5268,0.88942,0.00102725,0.00102725,0.00102725
11,79110.9,1.06493,0.55626,0.89798,0.91503,0.75798,0.81357,0.51849,0.96948,0.50359,0.88285,0.0010025,0.0010025,0.0010025
12,83616.6,1.03843,0.55542,0.89064,0.89161,0.78148,0.83601,0.51885,0.98566,0.5085,0.88958,0.00097775,0.00097775,0.00097775
13,88040.6,1.02707,0.52426,0.88596,0.88797,0.79984,0.83299,0.54432,0.94951,0.47726,0.87528,0.000953,0.000953,0.000953
14,92419.8,1.03058,0.52347,0.88724,0.85718,0.80689,0.84255,0.5452,0.945,0.48071,0.87805,0.00092825,0.00092825,0.00092825
15,97176.3,0.99423,0.5199,0.88056,0.88091,0.78501,0.82004,0.51039,1.00653,0.4961,0.89087,0.0009035,0.0009035,0.0009035
16,101647,0.96493,0.49294,0.87329,0.89235,0.81129,0.84577,0.56101,0.96929,0.45911,0.87963,0.00087875,0.00087875,0.00087875
17,106228,0.98234,0.48989,0.87701,0.88963,0.8049,0.83465,0.53382,0.99241,0.47681,0.88424,0.000854,0.000854,0.000854
18,111092,0.94471,0.47457,0.87112,0.91357,0.80767,0.84496,0.54823,0.96537,0.45578,0.8767,0.00082925,0.00082925,0.00082925
19,116548,0.93094,0.47153,0.8687,0.9234,0.79716,0.85736,0.56673,0.88805,0.43663,0.86255,0.0008045,0.0008045,0.0008045
20,121050,0.95419,0.46525,0.86838,0.90495,0.81214,0.84956,0.57263,0.90284,0.44016,0.8662,0.00077975,0.00077975,0.00077975
21,125764,0.95532,0.46534,0.86802,0.88352,0.81526,0.84603,0.54962,0.93925,0.44906,0.87392,0.000755,0.000755,0.000755
22,130586,0.90747,0.45598,0.86313,0.89221,0.7928,0.84845,0.56747,0.91665,0.44411,0.86823,0.00073025,0.00073025,0.00073025
23,136074,0.89431,0.44385,0.85728,0.9006,0.81852,0.84984,0.57613,0.87121,0.42671,0.85728,0.0007055,0.0007055,0.0007055
24,140695,0.88986,0.44008,0.85784,0.92313,0.83224,0.87092,0.58589,0.87502,0.41653,0.86047,0.00068075,0.00068075,0.00068075
25,145251,0.86202,0.4284,0.85136,0.91965,0.83928,0.88017,0.58788,0.90271,0.41284,0.86589,0.000656,0.000656,0.000656
26,149919,0.86895,0.43053,0.85142,0.95029,0.83725,0.87857,0.58077,0.88484,0.42068,0.85858,0.00063125,0.00063125,0.00063125
27,154172,0.8714,0.42779,0.85122,0.89577,0.8324,0.86181,0.58533,0.88505,0.41934,0.85864,0.0006065,0.0006065,0.0006065
28,158979,0.85178,0.42494,0.85066,0.89097,0.84102,0.85923,0.57545,0.86224,0.40974,0.85763,0.00058175,0.00058175,0.00058175
29,163724,0.84893,0.42014,0.84718,0.91971,0.82767,0.86215,0.58744,0.86025,0.40029,0.85571,0.000557,0.000557,0.000557
30,167901,0.83669,0.41192,0.84423,0.93314,0.80775,0.87157,0.58455,0.89959,0.41845,0.86354,0.00053225,0.00053225,0.00053225
31,172687,0.83083,0.40589,0.84334,0.92296,0.84875,0.87791,0.60296,0.83857,0.39431,0.85292,0.0005075,0.0005075,0.0005075
32,177086,0.8494,0.40974,0.84508,0.93035,0.85245,0.8776,0.59285,0.8537,0.39067,0.85447,0.00048275,0.00048275,0.00048275
33,181631,0.79795,0.39304,0.83872,0.92227,0.85313,0.8833,0.59673,0.88363,0.39834,0.86081,0.000458,0.000458,0.000458
34,186748,0.8174,0.39597,0.8399,0.88987,0.83657,0.86625,0.59262,0.87081,0.4025,0.85444,0.00043325,0.00043325,0.00043325
35,191728,0.80969,0.3881,0.83748,0.94574,0.84438,0.87994,0.6016,0.84116,0.38522,0.8481,0.0004085,0.0004085,0.0004085
36,196650,0.78733,0.38174,0.8341,0.92776,0.82087,0.85661,0.58632,0.8814,0.39922,0.85894,0.00038375,0.00038375,0.00038375
